LABEL,CG,exp
2MPYR,9.845,9.880
2NIMX,24.034,nan
2NITL,19.861,19.474
4MIMI,-0.212,nan
4NIAN,16.730,18.267
ACPH,17.002,16.027
ANIL,5.620,7.755
ANTH,35.519,nan
BEAL,15.406,12.925
BENZ,16.908,15.855
BRBZ,21.727,20.852
BZNI,15.969,15.280
BZQU,6.300,nan
BZTA,15.049,nan
BZTF,23.306,nan
BZTH,26.189,nan
CHEXE,20.062,nan
CLBZ,21.779,19.531
CLPR,22.616,nan
CLTL,25.376,nan
CNAP,30.667,nan
CUME,25.398,nan
DBRBZ,26.040,nan
DCLBZ,26.150,22.231
DMAN,20.806,19.991
EBEN,23.606,21.255
ENAPH,32.224,nan
FURA,13.874,nan
IMID,-2.106,-4.768
INDO,15.511,16.946
IOBZ,25.635,20.508
IOPHE,12.984,11.317
MBZOA,18.018,16.084
MESI,27.794,nan
MIND,17.286,12.868
MNAP,29.853,nan
MXYLE,24.589,21.140
NAPH,26.389,23.265
NAPY,4.895,nan
NIBZ,16.913,15.453
OMA,22.813,nan
OXYLE,24.333,22.461
PBEN,25.642,nan
PBZOA,25.788,nan
PCRE,9.020,6.089
PCYM,29.032,nan
PHEN,3.893,1.838
PYMI,1.123,1.838
PYRI,5.802,7.410
PYRR,5.562,5.227
QUIN,15.853,18.038
STYR,21.785,nan
TCLBZ,30.591,nan
TECE,44.857,nan
THAZ,5.447,5.917
THIO,16.995,18.267
THPH,18.511,21.312
THPY,15.772,nan
TOLU,20.712,19.589
XBZ,19.349,17.923
XNAPH,28.752,nan
