LABEL,CG,exp
2MPYR,3.016,0.172
2NIMX,14.521,14.361
2NITL,11.454,nan
4MIMI,-9.661,nan
4NIAN,4.774,nan
ACPH,6.693,6.549
ANIL,-1.337,nan
ANTH,25.445,nan
BEAL,6.023,6.089
BENZ,11.124,12.351
BRBZ,14.512,17.061
BZNI,6.406,5.227
BZQU,-5.473,nan
BZTA,3.969,7.181
BZTF,13.045,15.567
BZTH,15.863,nan
CHEXE,17.889,18.899
CLBZ,15.167,16.314
CLPR,15.081,nan
CLTL,17.933,19.129
CNAP,21.351,nan
CUME,20.716,22.174
DBRBZ,18.497,nan
DCLBZ,18.222,20.709
DMAN,11.751,12.465
EBEN,15.959,18.382
ENAPH,25.781,25.161
FURA,7.212,nan
IMID,-11.092,nan
INDO,6.557,nan
IOBZ,19.191,18.497
IOPHE,5.531,nan
MBZOA,7.220,8.961
MESI,21.009,21.140
MIND,7.998,nan
MNAP,20.937,23.265
MXYLE,17.726,18.555
NAPH,16.156,19.589
NAPY,-5.655,-2.815
NIBZ,8.051,nan
OMA,13.306,nan
OXYLE,17.577,18.842
PBEN,20.891,22.059
PBZOA,19.156,nan
PCRE,0.738,-1.091
PCYM,24.230,nan
PHEN,-3.213,-6.204
PYMI,-9.232,nan
PYRI,-1.157,-2.413
PYRR,-0.847,nan
QUIN,6.421,nan
STYR,14.099,18.382
TCLBZ,22.255,25.448
TECE,32.041,nan
THAZ,-2.920,nan
THIO,9.097,10.225
THPH,9.805,12.925
THPY,4.551,nan
TOLU,14.350,15.395
XBZ,10.923,12.006
XNAPH,19.229,nan
