LABEL,CG,exp
2MPYR,8.571,6.376
2NIMX,18.717,16.946
2NITL,15.099,13.212
4MIMI,0.276,1.321
4NIAN,11.904,11.661
ACPH,12.672,9.076
ANIL,5.172,5.170
ANTH,25.950,25.563
BEAL,10.876,8.444
BENZ,12.354,12.236
BRBZ,14.713,17.176
BZNI,11.256,8.961
BZQU,3.249,1.149
BZTA,10.622,11.546
BZTF,15.222,17.291
BZTH,18.282,17.923
CHEXE,17.137,16.429
CLBZ,15.545,16.601
CLPR,17.260,20.163
CLTL,19.014,19.646
CNAP,21.771,22.978
CUME,20.031,21.025
DBRBZ,17.169,21.542
DCLBZ,18.077,19.675
DMAN,15.363,13.270
EBEN,17.652,18.095
ENAPH,24.386,25.218
FURA,9.968,7.698
IMID,-1.521,-0.460
INDO,11.776,12.293
IOBZ,19.924,18.669
IOPHE,11.331,15.223
MBZOA,14.745,12.178
MESI,23.022,19.646
MIND,13.469,14.936
MNAP,22.826,22.231
MXYLE,20.006,18.382
NAPH,18.437,18.957
NAPY,4.466,nan
NIBZ,11.710,10.627
OMA,17.176,15.740
OXYLE,19.796,17.923
PBEN,20.110,21.369
PBZOA,20.451,17.291
PCRE,6.657,11.144
PCYM,25.330,23.552
PHEN,3.531,8.387
PYMI,-0.280,-2.298
PYRI,4.754,3.734
PYRR,4.509,4.308
QUIN,12.145,11.661
STYR,16.043,16.946
TCLBZ,20.747,23.265
TECE,33.384,33.088
THAZ,3.634,nan
THIO,11.520,10.397
THPH,12.810,14.476
THPY,10.959,9.995
TOLU,15.955,15.682
XBZ,14.274,12.121
XNAPH,20.894,19.818
