LABEL,W-->0_CG,HD-->0_CG,OCO-->0_CG,CLF-->0_CG,HD-->W_CG,OCO-->W_CG,CLF-->W_CG
1MIMI,5.846,1.318,8.892,9.186,-4.528,3.046,3.34
2MPYR,3.811,6.827,12.382,13.656,3.016,8.571,9.845
2NIMX,0.750,15.271,19.467,24.784,14.521,18.717,24.034
2NITL,2.571,14.025,17.670,22.432,11.454,15.099,19.861
3HT,-9.135,24.339,19.541,26.391,33.474,28.676,35.526
3PT,-6.718,14.924,13.050,19.757,21.642,19.768,26.475
4MIMI,9.117,-0.544,9.393,8.905,-9.661,0.276,-0.212
4NIAN,1.464,6.238,13.368,18.194,4.774,11.904,16.73
ACPH,1.241,7.934,13.913,18.243,6.693,12.672,17.002
ANIL,7.698,6.361,12.870,13.318,-1.337,5.172,5.62
BEAL,0.042,6.065,10.918,15.448,6.023,10.876,15.406
BENZ,-6.413,4.711,5.941,10.495,11.124,12.354,16.908
BRA,-3.109,9.650,12.751,19.510,12.759,15.86,22.619
BRBZ,-4.545,9.967,10.168,17.182,14.512,14.713,21.727
BZDOL,22.541,5.958,18.967,14.664,-16.583,-3.574,-7.877
BZNI,-1.437,4.969,9.819,14.532,6.406,11.256,15.969
BZQU,9.719,4.246,12.968,16.019,-5.473,3.249,6.3
BZTF,-1.649,11.396,13.573,21.657,13.045,15.222,23.306
CHEX,-7.929,12.903,9.539,12.185,20.832,17.468,20.114
CHEXE,-7.402,10.487,9.735,12.660,17.889,17.137,20.062
CLBZ,-5.057,10.110,10.488,16.722,15.167,15.545,21.779
CLPR,8.500,23.581,25.760,31.116,15.081,17.26,22.616
CLTL,-5.565,12.368,13.449,19.811,17.933,19.014,25.376
CPR,-5.307,5.663,3.802,5.388,10.97,9.109,10.695
CUME,-6.768,13.948,13.263,18.630,20.716,20.031,25.398
CYPE,-7.730,10.758,7.377,9.769,18.488,15.107,17.499
CYPO,3.934,5.995,8.819,8.590,2.061,4.885,4.656
CYPOL,4.862,5.042,8.088,8.023,0.18,3.226,3.161
DBRBZ,-2.710,15.787,14.459,23.330,18.497,17.169,26.04
DCLBZ,-2.865,15.357,15.212,23.285,18.222,18.077,26.15
DIOX,12.080,6.700,12.296,14.362,-5.38,0.216,2.282
DMAN,-2.566,9.185,12.797,18.240,11.751,15.363,20.806
DMBZQ,7.187,10.044,18.507,21.814,2.857,11.32,14.627
DXLA,5.282,7.015,10.041,11.235,1.733,4.759,5.953
EBEN,-9.632,6.327,8.020,13.974,15.959,17.652,23.606
FURA,-0.897,6.315,9.071,12.977,7.212,9.968,13.874
IMID,12.577,1.485,11.056,10.471,-11.092,-1.521,-2.106
IOBZ,-4.450,14.741,15.474,21.185,19.191,19.924,25.635
IOPHE,10.946,16.477,22.277,23.930,5.531,11.331,12.984
MBZOA,2.086,9.306,16.831,20.104,7.22,14.745,18.018
MCYPE,-7.660,13.018,9.574,12.308,20.678,17.234,19.968
MESI,-8.216,12.793,14.806,19.578,21.009,23.022,27.794
MXYLE,-9.691,8.035,10.315,14.898,17.726,20.006,24.589
NBAPH,18.144,17.511,28.845,27.497,-0.633,10.701,9.353
NIBZ,2.744,10.795,14.454,19.657,8.051,11.71,16.913
OMA,-6.956,6.350,10.220,15.857,13.306,17.176,22.813
OXYLE,-8.656,8.921,11.140,15.677,17.577,19.796,24.333
PBEN,-8.062,12.829,12.048,17.580,20.891,20.11,25.642
PBZOA,0.476,19.632,20.927,26.264,19.156,20.451,25.788
PCRE,4.136,4.874,10.793,13.156,0.738,6.657,9.02
PCYM,-10.142,14.088,15.188,18.890,24.23,25.33,29.032
PHEN,9.611,6.398,13.142,13.504,-3.213,3.531,3.893
PIPER,5.229,6.999,11.487,10.611,1.77,6.258,5.382
PXYLE,-10.446,4.290,6.037,12.011,14.736,16.483,22.457
PYAZ,-3.442,5.557,8.347,12.354,8.999,11.789,15.796
PYLI,4.268,6.185,9.146,8.890,1.917,4.878,4.622
